# D	 sigma      Ha_flux
# Mpc	 km/s       10^-16W/m^2
 12.5      8       0.3
 64.2     23       3.3
 64.2     13       2.2
 63.8     24       4.8
 12.1      9      75.4
 12.7     12      27.8
 70.8     99     999.9
 63.7     99       0.5
  0.9      9      97.6
  7.2     99      17.8
  7.2     13      25.9
 42.2     15       8.3
 66.8     18       7.9
 73.0     30       0.3
 17.6     18       6.2
102.4     99       2.1
 66.5     19       3.2
  9.3     12      44.9
  7.8      7       3.9
 10.1      8       1.5
 22.7     17      22.4
 12.7     99       0.3
 10.2     99       4.0
 13.7     10      12.9
 12.2     11      23.0
 18.6     12       3.4
  9.8      8       6.5
  7.8     99      32.2
 34.4     16       4.5
 20.6     12       2.0
 17.5     19      25.0
 36.3     25       4.8
  2.5     99     270.5
 12.2     12       3.6
 55.6     54      20.2
 62.8     18       0.4
 17.0     99       1.4
 17.9     17      30.7
 38.6     15      11.1
 21.8     12       8.7
 62.6     16       0.7
 61.8     32       0.3
 80.0     99     999.9
 28.9     10      12.2
 26.3      9       8.0
 70.0     18       1.2
 70.7     18       4.2
 15.9     12       3.7
 25.7      9       4.0
 32.9     14      25.4
 17.1     11      63.8
  3.4     99     128.5
 14.5     10       1.5
 63.6     13       9.3
 63.9     18       0.2
 64.7     19       0.5
 11.0     10      13.6
 71.7     26       2.9
 35.4     14       9.0
  6.9      8      15.3
  9.6     99      14.9
  9.8     10      34.0
  3.4     99      94.2
 10.9     11       3.8
 31.5     11       5.4
 58.1     20       3.2
 74.0     14       2.0
 12.2      7       3.5
 30.3     14       2.8
 58.0     15       1.5
 95.9     14       0.6
 17.1     13       9.5
 25.6     10      16.6
105.1     13       3.5
 44.1     13       5.2
 24.7      9       7.3
 21.5     15      23.1
 21.1     13       9.5
  7.1     99       6.9
 21.3     99       5.0
 17.6     14       8.7
 35.8      9       3.2
 19.3     99       8.2
  1.4      8       6.0
  3.8     99      20.9
 10.0     13      11.8
 83.4     20       1.6
 18.6     10      18.9
 41.1     14      27.8
 22.2     99       3.2
  6.5     14       5.3
 14.2     17     183.5
 14.1      8      16.0
  9.0      9       3.3
  6.9     12      60.4
 15.2     10       9.9
 21.2     13      10.5
 26.4     99      10.2
 20.8     15       8.3
 19.8     11      27.4
 16.9     19       9.4
 18.8      8      12.2
 78.6     17       3.6
 80.0     13       1.4
 14.3     12      73.8
 15.3     10       7.9
 99.8     15       2.9
 15.5     12      18.4
 18.9     17       2.0
 26.8     14       4.6
 11.4     10      13.8
 16.2     12      30.3
  2.9     99     142.4
  8.1     10      18.5
 23.7     99       0.1
  4.6     99      17.7
  2.9     99     429.6
  9.3     99       8.3
 13.0     12      50.4
  5.2      9      62.1
  8.9      8      49.8
 10.2     11       6.3
 14.5      8       4.1
 20.7     12      12.7
  8.4      8       0.8
 13.7      8      28.6
  9.8     11      88.2
 19.1      9      30.5
  4.7     11      16.2
 32.8      4       0.8
 35.0     15      15.2
 30.6     10       4.4
 25.5     14       0.4
 49.0      7       1.0
 49.2     20       5.6
 49.0     19      10.7
  7.2      7      18.8
  5.7      9      12.5
 10.2     99       2.9
 54.9     15       1.8
 29.1     15       8.8
 37.7     14      34.7
 22.3      8      21.5
 33.8     11       0.9
 26.4      8       4.2
 27.4     10      11.3
  7.7     10       3.9
 45.4     14       2.8
 12.4     11      18.7
 38.2     17       6.9
  7.4      7       7.2
 28.0      9      16.0
 36.0     19      12.3
 10.4     99       0.5
 14.7      9      27.1
 12.7     11       1.8
 16.0     13      17.9
 21.2     10      35.9
 16.9     11       8.7
 61.2     20       6.9
 18.0      9      10.3
 20.4     14      13.0
 18.4     11       6.9
 18.2      8       6.4
 18.3     99       1.9
 19.5     11       2.8
 20.0     99       0.1
 21.7     10       0.0
 20.5     13      16.3
  5.3      8      25.3
 23.7     11       8.4
 22.8     12      42.2
 35.0     30       1.1
 31.3     18      10.4
 31.3     99       0.6
  8.4     12       9.3
 23.0     99      15.6
 35.8     20       6.6
 65.2     99       4.4
 14.2     13      14.2
 50.8     25       2.9
 31.9      9       0.9
 44.9     22       1.9
 19.7     11      10.0
  5.9     13     103.2
 12.8     16       2.9
 15.9     11       6.9
 80.1     20       0.6
 25.1     16       9.5
 18.1     13       6.3
  9.0     21       0.6
 17.7     99      13.8
 15.0     15      20.2
 17.4     12      14.7
 15.7     12       4.1
 10.1      8       1.3
 15.1     13       2.3
 15.5     13       1.0
 77.8     20       3.1
 77.8     99       0.2
 26.9     16      31.0
  8.0      9       3.4
  8.9     13      44.1
