#  Ms       SFRB04  SFRHa    Mgas     sigma
# 10^9MSun  Msun/yr Msun/yr  10^9Msun km/s
   42.35    1.78    3.42     6.89     10
    1.09    0.29    0.33     1.08     29
    6.28    0.81    1.47     3.22     19
   48.53    3.66    1.97     3.15     44
   37.66    1.48    2.86     4.80     39
   12.56    0.59    0.92     1.78     41
    4.36    0.44    0.28     0.96     23
   31.53    3.85    4.18     6.14     49
   11.58    2.00    3.05     6.35     35
   16.36    0.31    9.87    14.77     40
    4.65    0.68    2.64     4.19     41
    3.93    0.86    1.07     2.15     27
    8.67    3.05    3.64     9.10     33
   22.15    2.92    1.07     2.31     17
    6.67    1.11    0.74     1.93     30
    7.19    0.72    0.98     1.66     24
    7.56    1.01    1.69     4.07     29
    1.29    0.39    0.65     1.35     32
    4.86    1.18    4.18     5.94     46
    3.06    1.31    3.59     4.94     46
   35.78    4.03    9.93    14.22     29
   37.71    3.97    5.62     5.94     11
    5.61    0.63    3.32     3.88     26
    8.50    0.75    1.50     2.72      4
   30.92    3.97    2.30     3.63     41
   15.28    4.89    5.32     7.24     40
   24.30    9.86   19.65    18.74     38
    5.49    5.43   14.66    13.80     63
    1.69    1.29    4.33     5.17     36
   53.84   15.14   21.20    20.17     46
   20.37    6.51   11.30    17.46     39
    4.99    0.96    2.67     3.00     24
    1.89    0.76    0.88     1.17     42
   54.15    7.69   13.70    14.74     31
   18.56    5.63    5.35     6.80     37
   29.87    6.10    2.80     3.29     23
   59.24    6.74    6.51     9.90     31
    9.29    5.10    9.11    11.64     35
   10.20    3.83    7.69     8.42     35
   29.19   10.61    9.27     8.03     84
   52.58    6.84    8.35    12.35     42
   58.67   10.25   12.71    19.10     58
   36.67    3.08    9.53    16.65     37
   65.00   28.08   26.66    31.96     45
   19.82    4.92   15.99    23.04     63
    7.40    8.61   22.66    19.35     78
   22.95   25.05   79.79    49.12     77
    4.06    2.00    6.44    18.60     54
   15.03    8.90   18.91    21.29     57
    6.51    7.91   17.79    28.43     43
   64.61   41.03   56.62    52.90     53
   64.74   28.04   41.61    43.68     50
    8.01    5.98   10.77    36.76     43
   41.09   19.24   26.85    30.12     42
   25.54   10.56   42.84    44.83     55
   11.05    5.65    9.65    16.29     49
   17.31    9.77   16.62    23.60     64
   26.13   11.96   25.70    33.42     55
   12.24    9.64   23.00    28.39     62
   50.27   20.23   42.74    46.67     47
   11.11   24.54   26.47    24.09     76
   22.33   10.11    8.30     9.72     70
   26.27   19.98   20.87    18.44     81
   53.06   26.65   46.03    33.72     96
   21.56   19.16   17.27    19.12     45
   10.78    9.83   19.26    29.25     34
    9.50   12.48   25.35    30.28     59
