# log_Mb log_MHI   log_Ms 	SFR  	   sigma
# Msun	 Msun	   Msun		Msun/yr	   km/s
9.7	 8.7 	   9.4	  	0.1937	   8.1
9.4	 9.0	   8.8		0.0627	   7.2
9.2	 8.5	   8.9		0.1226	   6.5
9.0	 8.6	   8.3		0.0351	   7.1
9.0	 8.7	   8.3		0.0559	   10.1
8.7	 8.4	   7.8		0.0066	   7.5
8.4	 7.8	   7.4		0.0049	   6.7
8.1	 7.4	   7.7		0.0048	   9.3
8.1	 7.6	   7.2		0.0028	   7.2
8.0	 7.8	   7.4		0.0058	   8.4
8.0	 7.6	   7.2		0.0041	   8.2
8.0	 7.5	   7.5		0.0027	   8.9
7.9	 7.2	   7.4		0.0015	   6.0
7.9	 7.6	   7.7		0.0017	   7.3
7.9	 7.4	   7.2		0.0020	   7.3
7.9	 7.1	   7.3		0.0021	   9.2
7.8	 7.5	   6.8		0.0011	   7.8
7.7	 6.7	   7.3		0.0014	   7.7
7.7	 7.4	   7.0		0.0021	   8.5
7.7	 7.2	   7.1		0.0014	   6.5
7.4	 7.0	   7.8		0.0006	   8.0
7.3	 7.0	   6.6		0.0004	   10.4
7.1	 6.6	   6.6		0.0010	   7.5
