number,z,log(1+z),logM*,log(sSFR/sSFR(MS)),"kpc/""",R1/2,del-R1/2,vrot,del-vrot,sigma-intrinsic,del-s,vrot/sintr,del-vrot/sintr,B/T,n(Sersic),M_bulge,Mmol-gas,Mbaryon,log(S* (R1/2)),log(S* (1kpc)),logSgas,fgas,logMgas/M*,SFRbest,sSFR,(V-J)rf,(U-V)rf,,type,logSSFR ,
,,,,Whitaker 14,,(kpc),(kpc),(km/s),(km/s),(km/s),(km/s),,,,,Msun,Msun,Msun,Msun kpc^-2,Msun kpc^-2,Msun/kpc^2,(baryonic),,Msun/yr,Gyr^-1,,,,,(Msun/yr/kpc^2),
1,2.148,0.498,10.33,-0.34,8.29,4.7,0.90,173,52,48,24,3.6,2.1,,,-999,1.75E+10,3.86E+10,8.18,,8.10,0.45,-0.084,23.5,1.11,,,,b-SFG,-0.771,1
2,2.408,0.532,10.01,-0.30,8.13,2.1,1.00,176,21,44,11,4.0,1.1,,,-999,1.04E+10,2.07E+10,8.57,,8.58,0.50,0.007,15.4,1.49,,0.670,,b-SFG,-0.257,2
3,2.156,0.499,9.36,0.33,8.28,1.1,0.70,77,24,26,10,3.0,1.5,,1.00,-999,5.42E+09,7.69E+09,8.48,,8.85,0.70,0.378,13.6,5.98,,0.140,,b-SFG,0.252,3
4,2.521,0.547,9.97,0.70,8.05,3.3,1.10,129,21,68,12,1.9,0.4,,,-999,3.61E+10,4.56E+10,8.14,,8.72,0.79,0.584,150.0,15.94,,0.240,,b-SFG,0.341,4
5,2.434,0.536,10.81,-0.49,8.11,6.5,1.00,158,32,32,16,4.9,2.7,,,-999,3.75E+10,1.01E+11,8.38,,8.15,0.37,-0.233,42.0,0.66,,,,b-SFG,-0.801,5
6,2.172,0.501,9.89,1.01,8.28,5.1,1.00,183,37,60,10,3.0,0.8,,,-999,3.75E+10,4.52E+10,7.67,,8.36,0.83,0.688,185.0,24.03,,,,b-SFG,0.054,6
7,2.174,0.502,10.61,-0.52,8.27,6.2,1.20,303,26,54,10,5.6,1.1,,0.30,2.10E+09,2.34E+10,6.44E+10,8.23,,7.99,0.36,-0.244,25.0,0.61,,1.290,,b-SFG,-0.985,7
8,2.108,0.492,10.43,-0.78,8.31,2.6,1.40,103,26,48,23,2.1,1.1,,,-999,1.20E+10,3.89E+10,8.80,,8.45,0.31,-0.352,10.2,0.38,,0.930,,b-SFG,-0.620,8
9,2.211,0.507,11.00,-0.344,8.25,4.5,1.10,327,45,62,19,5.2,1.7,,0.40,8.50E+09,5.39E+10,1.54E+11,8.90,,8.63,0.35,-0.268,60.0,0.60,,0.930,,b-SFG,-0.326,9
10,2.031,0.482,10.37,-0.51,8.35,1.3,1.30,91,18,30,15,3.0,1.6,,,-999,1.45E+10,3.80E+10,9.33,,9.12,0.38,-0.208,15.9,0.68,,,,b-SFG,0.162,10
11,2.258,0.513,10.26,0.22,8.22,6.0,0.80,290,26,58,11,5.0,1.0,,0.10,1.00E+09,3.27E+10,5.07E+10,7.90,,8.16,0.64,0.259,80.0,4.44,,0.770,,b-SFG,-0.451,11
12,2.269,0.514,10.84,-0.44,8.22,4.9,0.13,95,19,48,24,2.0,1.1,,,-999,3.85E+10,1.08E+11,8.66,,8.41,0.36,-0.257,42.0,0.60,,,,b-SFG,-0.555,12
13,2.332,0.523,10.75,-0.52,8.18,2.4,0.60,152,28,61,15,2.5,0.8,,2.00,6.00E+09,3.16E+10,8.82E+10,9.19,,8.94,0.36,-0.253,33.9,0.60,,0.930,,b-SFG,-0.028,13
14,2.032,0.482,10.20,-0.13,8.35,3.3,0.70,56,11,42,21,1.3,0.7,,,-999,1.67E+10,3.25E+10,8.36,,8.39,0.51,0.025,26.9,1.70,,,,b-SFG,-0.406,14
15,2.173,0.501,10.40,0.16,8.27,5.5,0.50,88,20,45,19,1.9,0.9,,3.60,4.00E+09,3.95E+10,6.48E+10,8.12,,8.32,0.61,0.193,89.0,3.52,,0.800,,b-SFG,-0.330,15
16,2.236,0.510,10.43,0.17,8.24,3.9,0.30,310,60,31,10,10.0,3.7,,0.60,-999,4.29E+10,6.96E+10,8.45,,8.65,0.62,0.205,99.0,3.71,,0.720,,b-SFG,0.015,16
17,2.225,0.509,10.28,0.31,8.24,5.0,0.75,327,40,50,10,6.5,1.5,,0.20,-999,3.80E+10,5.71E+10,8.08,,8.38,0.67,0.300,101.0,5.30,0.675,0.490,1.184,b-SFG,-0.192,17
18,2.224,0.508,10.51,-0.23,8.25,6.0,1.20,197,39,42,10,4.7,1.5,,,-999,2.97E+10,6.22E+10,8.16,,8.12,0.48,-0.039,44.9,1.38,,,,b-SFG,-0.702,18
19,2.036,0.482,10.07,0.64,8.35,12.0,5.00,268,54,32,10,8.5,3.2,,,-999,3.41E+10,4.57E+10,7.11,,7.58,0.75,0.467,118.0,10.15,,,,b-SFG,-0.885,19
